"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"151739131662319617","","","2011-12-27 19:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「煩わしいと言っても恋煩いよ」【戦場ヶ原ひたぎ】-  化物語 #kotoba #meigen #anime","","","",""
"151708930840600576","","","2011-12-27 17:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「我が生涯に 一片の悔いなし！！！」【ラオウ】-  北斗の拳 #kotoba #meigen #anime","","","",""
"151678732757770241","","","2011-12-27 15:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「貴様ァ！俺の目を盗みやがったなぁ！！！」【バトー】-  攻殻機動隊 #kotoba #meigen #anime","","","",""
"151648532535853057","","","2011-12-27 13:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「カ…カカロットはぁ！俺の物だ！勝手に手を出すなぁ！」【ベジータ】-  ドラゴンボール #kotoba #meigen #anime","","","",""
"151618334499147777","","","2011-12-27 11:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「溶けちゃえ溶けちゃえ、脳みそ溶けちゃえ!」【アネモネ】-  交響詩篇エウレカセブン #kotoba #meigen #anime","","","",""
"151588133635489793","","","2011-12-27 09:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「本当に信じることが出来たら、信じる力は現実になる。」【ダイアン・サーストン】-  交響詩篇エウレカセブン #kotoba #meigen #anime","","","",""
"151557937343627266","","","2011-12-27 07:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「この国では、成長途中の女性のことを、少女って呼ぶんだろう？だったら、やがて魔女になる君たちのことは、魔法少女と呼ぶべきだよね」【インキュベーター】-  魔法少女まどか☆マギカ #kotoba #meigen #anime","","","",""
"151527736819716097","","","2011-12-27 05:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「バトー、忘れないで。貴方がネットにアクセスするとき、私は必ず貴方の傍にいる。」【草薙素子】-  攻殻機動隊 #kotoba #meigen #anime","","","",""
"151467341207715840","","","2011-12-27 01:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「戦争を、しましょう」【戦場ヶ原ひたぎ】-  化物語 #kotoba #meigen #anime","","","",""
"151437146715209728","","","2011-12-26 23:00:04 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「バルス！」【パズー・シータ】-  天空の城ラピュタ #kotoba #meigen #anime","","","",""
"151406943657926656","","","2011-12-26 21:00:03 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「ニュータイプだってスーパーマンじゃないんだ！」【ジェリド・メサ】-  機動戦士Ｚガンダム #kotoba #meigen #anime","","","",""
"151376742957842432","","","2011-12-26 19:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「どうしようもないこの世界で、それでも僕らは夢を見る」【 - 】-  交響詩篇エウレカセブン #kotoba #meigen #anime","","","",""
"151346545499979776","","","2011-12-26 17:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「…！～～ッ！！ドミニクーー！！」【アネモネ】-  交響詩篇エウレカセブン #kotoba #meigen #anime","","","",""
"151286146805149697","","","2011-12-26 13:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「生きていいんだよ！生きちゃいけないなんて誰も言ってないんだよッ！」【エウレカ】-  交響詩篇エウレカセブン #kotoba #meigen #anime","","","",""
"151255946511917056","","","2011-12-26 11:00:02 +0000","<a href=""http://twitter.com/anomeigen_bot"" rel=""nofollow"">アノメイゲン</a>","「何人たりともオレの眠りを妨げる奴は許さん」【流川楓】-  スラムダンク #kotoba #meigen #anime","","","",""
